+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp           ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrempty_eq_comp          ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdfull_eq_comp           ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp          ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe16        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_dgrp                  ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_bwp                   ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_brp                   ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrfull_reg               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe13        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_dgwp                  ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_bwp                   ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_brp                   ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdfull_reg               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|fifo_ram                 ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p                ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p                ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|ws_dgrp_gray2bin         ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|wrptr_g_gray2bin         ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rs_dgwp_gray2bin         ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated|rdptr_g_gray2bin         ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx|dcfifo_mixed_widths_component|auto_generated                          ; 37    ; 0              ; 0            ; 0              ; 88     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_fifo:0:fifo_inst_isntx                                                                       ; 37    ; 13             ; 0            ; 13             ; 88     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|p2d_wr_fsm_inst0                                                                                  ; 55    ; 0              ; 0            ; 0              ; 173    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|sync_reg1                                                                                         ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:3:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:3:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:3:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:3:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:2:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:2:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:2:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:2:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:1:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:1:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:1:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:1:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:0:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:0:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:0:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_1:0:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|bus_sync_reg3                                                                                     ; 66    ; 1              ; 0            ; 1              ; 64     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|bus_sync_reg2                                                                                     ; 66    ; 1              ; 0            ; 1              ; 64     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:3:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:3:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:3:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:3:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:2:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:2:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:2:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:2:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:1:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:1:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:1:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:1:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:0:handake_sync_insx|dst_sync_reg1                                           ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:0:handake_sync_insx|dst_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:0:handake_sync_insx|src_sync_reg0                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|\gen_handshake_sync_0:0:handake_sync_insx                                                         ; 5     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|bus_sync_reg1                                                                                     ; 66    ; 1              ; 0            ; 1              ; 64     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0|bus_sync_reg0                                                                                     ; 66    ; 1              ; 0            ; 1              ; 64     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0|packets2data_inst0                                                                                                   ; 126   ; 4              ; 0            ; 4              ; 72     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|packets2data_top_inst0                                                                                                                      ; 126   ; 31             ; 0            ; 31             ; 68     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp                                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|wrempty_eq_comp                                                         ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rdfull_eq_comp                                                          ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp                                                         ; 18    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe9                                                        ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp                                                                 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|ws_bwp                                                                  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|ws_brp                                                                  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|wrfull_reg                                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe6                                                        ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp                                                                 ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rs_bwp                                                                  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rs_brp                                                                  ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rdfull_reg                                                              ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|fifo_ram                                                                ; 86    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g1p                                                               ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g1p                                                               ; 3     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|ws_dgrp_gray2bin                                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|wrptr_g_gray2bin                                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rs_dgwp_gray2bin                                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated|rdptr_g_gray2bin                                                        ; 9     ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo|dcfifo_mixed_widths_component|auto_generated                                                                         ; 69    ; 0              ; 0            ; 0              ; 85     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst|fifo                                                                                                                      ; 69    ; 20             ; 0            ; 20             ; 85     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_fifo_rw_inst                                                                                                                           ; 68    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|bus_sync_reg1                                                                                                                               ; 4     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|bus_sync_reg0                                                                                                                               ; 4     ; 1              ; 0            ; 1              ; 2      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg8                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg7                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg6                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg5                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg4                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg3                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg2                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg1                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1|sync_reg0                                                                                                                                   ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|tx_path_top_inst1                                                                                                                                             ; 113   ; 0              ; 0            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|rx_path_top_inst0|smpl_cnt_inst4|lpm_cnt_inst_inst0|LPM_COUNTER_component|auto_generated                                                                      ; 70    ; 0              ; 0            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst12|rx_path_top_inst0|smpl_cnt_inst4|lpm_cnt_inst_inst0                                                                                                           ; 70    ; 2              ; 0            ; 2              ; 65     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
